paiement_id	commande_fk	mode	montant	date_paiement
119	119	carte	56.5	25.01.2025 05:00
120	120	twint	41	25.01.2025 10:45
121	121	twint	54.5	25.01.2025 12:01
122	122	carte	51	25.01.2025 12:21
123	123	twint	77.5	25.01.2025 15:15
124	124	twint	64	25.01.2025 17:19
125	125	twint	76	25.01.2025 21:15
126	126	carte	37	26.01.2025 03:56
127	127	carte	70	26.01.2025 04:31
128	128	carte	45.5	26.01.2025 05:39
129	129	twint	43.5	26.01.2025 08:57
130	130	carte	50.5	26.01.2025 10:08
131	131	carte	38.5	26.01.2025 12:48
132	132	carte	44	26.01.2025 14:41
133	133	carte	57.5	26.01.2025 17:07
134	134	carte	20	26.01.2025 17:28
135	135	twint	29.5	27.01.2025 00:57
136	136	twint	61	27.01.2025 03:10
137	137	carte	47.5	27.01.2025 04:58
138	138	cash	22.5	27.01.2025 05:26
139	139	twint	66.5	27.01.2025 05:48
140	140	twint	88	27.01.2025 06:21
141	141	twint	57	27.01.2025 07:10
142	142	twint	44.5	27.01.2025 10:08
143	143	twint	41	27.01.2025 10:17
144	144	twint	38.5	27.01.2025 12:12
145	145	cash	61	27.01.2025 16:15
146	146	cash	69	27.01.2025 17:23
147	147	twint	52	28.01.2025 00:27
148	148	twint	83	28.01.2025 04:39
149	149	twint	63.5	28.01.2025 11:12
150	150	twint	24	28.01.2025 11:42
151	151	twint	66	28.01.2025 12:18
152	152	carte	36	28.01.2025 13:18
153	153	carte	60	28.01.2025 14:50
154	154	cash	42.5	28.01.2025 17:26
155	155	cash	27	28.01.2025 19:13
156	156	carte	74.5	28.01.2025 20:31
157	157	carte	45	28.01.2025 23:17
158	158	twint	58	29.01.2025 01:34
159	159	twint	43.5	29.01.2025 01:39
160	160	carte	26	29.01.2025 11:19
161	161	carte	21	29.01.2025 11:31
162	162	twint	87	29.01.2025 14:25
163	163	carte	35	29.01.2025 14:33
164	164	carte	28.5	29.01.2025 15:01
165	165	carte	0	29.01.2025 15:18
166	166	carte	58	29.01.2025 19:08
167	167	cash	40.5	29.01.2025 19:12
168	168	twint	41	29.01.2025 21:32
169	169	twint	55	29.01.2025 23:40
170	170	carte	59.5	30.01.2025 00:14
171	171	carte	48.5	30.01.2025 00:29
172	172	twint	44.5	30.01.2025 00:49
173	173	carte	81	30.01.2025 01:01
174	174	twint	83.5	30.01.2025 01:50
175	175	carte	76.5	30.01.2025 03:49
176	176	carte	0	30.01.2025 05:57
177	177	carte	33.5	30.01.2025 06:47
178	178	twint	71.5	30.01.2025 10:09
179	179	twint	99	30.01.2025 14:22
180	180	twint	49	30.01.2025 15:53
181	181	cash	82	30.01.2025 16:08
182	182	cash	22	30.01.2025 17:03
183	183	carte	0	30.01.2025 17:24
184	184	carte	38.5	30.01.2025 17:30
185	185	carte	55	30.01.2025 19:57
186	186	carte	50	30.01.2025 22:33
187	187	twint	46	30.01.2025 22:49
188	188	twint	43	31.01.2025 00:36
189	189	twint	45.5	31.01.2025 04:59
190	190	carte	51	31.01.2025 06:41
191	191	carte	47	31.01.2025 06:47
192	192	carte	31.5	31.01.2025 07:15
193	193	carte	56	31.01.2025 10:56
194	194	twint	95	31.01.2025 12:37
195	195	twint	44.5	31.01.2025 12:57
196	196	carte	40.5	31.01.2025 13:20
197	197	twint	47	31.01.2025 13:29
198	198	twint	66.5	31.01.2025 14:03
199	199	cash	44	31.01.2025 16:59
200	200	cash	41.5	31.01.2025 23:49
201	201	twint	68	01.02.2025 02:42
202	202	twint	28	01.02.2025 02:42
203	203	cash	84	01.02.2025 04:54
204	204	carte	30.5	01.02.2025 05:57
205	205	twint	43.5	01.02.2025 08:21
206	206	twint	62	01.02.2025 08:47
207	207	carte	36.5	01.02.2025 08:49
208	208	twint	69.5	01.02.2025 13:05
209	209	twint	22.5	01.02.2025 15:20
210	210	carte	60	01.02.2025 16:36
211	211	twint	71	01.02.2025 17:33
212	212	twint	23.5	01.02.2025 21:18
213	213	twint	24	01.02.2025 21:06
214	214	twint	0	01.02.2025 22:20
215	215	carte	25.5	01.02.2025 23:14
216	216	cash	69	01.02.2025 23:44
217	217	twint	55	02.02.2025 04:16
218	218	cash	23.5	02.02.2025 05:10
219	219	twint	43	02.02.2025 13:55
220	220	carte	58.5	02.02.2025 14:52
221	221	twint	51	02.02.2025 16:24
222	222	carte	62	02.02.2025 17:08
223	223	carte	19	02.02.2025 18:13
224	224	carte	24.5	02.02.2025 18:26
225	225	twint	29.5	02.02.2025 20:52
226	226	cash	14	02.02.2025 21:36
227	227	carte	55	02.02.2025 21:43
228	228	twint	69	02.02.2025 21:49
229	229	twint	60.5	02.02.2025 22:35
230	230	cash	32.5	03.02.2025 02:03
231	231	cash	68.5	03.02.2025 02:12
232	232	carte	40.5	03.02.2025 02:19
233	233	carte	61	03.02.2025 03:50
234	234	twint	47.5	03.02.2025 06:49
235	235	carte	18.5	03.02.2025 07:35
236	236	twint	43.5	03.02.2025 07:47
237	237	carte	23	03.02.2025 08:01
238	238	twint	58.5	03.02.2025 08:24
239	239	carte	44.5	03.02.2025 08:56
240	240	cash	49.5	03.02.2025 10:42
241	241	carte	62.5	03.02.2025 12:20
242	242	twint	36.5	03.02.2025 12:48
243	243	carte	34	03.02.2025 15:53
244	244	cash	61.5	03.02.2025 16:00
245	245	twint	76	03.02.2025 17:11
246	246	carte	19.5	03.02.2025 18:58
247	247	twint	68.5	03.02.2025 19:02
248	248	carte	65	03.02.2025 20:35
249	249	carte	22	03.02.2025 21:58
250	250	carte	38.5	04.02.2025 02:54
251	251	twint	37	04.02.2025 03:11
252	252	carte	17	04.02.2025 06:24
253	253	twint	42	04.02.2025 07:40
254	254	cash	27.5	04.02.2025 07:41
255	255	carte	27	04.02.2025 13:07
256	256	carte	24.5	04.02.2025 15:14
257	257	carte	51.5	04.02.2025 15:38
258	258	twint	55	04.02.2025 18:17
259	259	twint	53	04.02.2025 18:21
260	260	carte	57.5	04.02.2025 21:37
261	261	carte	39.5	04.02.2025 23:52
262	262	carte	51	04.02.2025 23:58
263	263	twint	42.5	05.02.2025 03:45
264	264	twint	61.5	05.02.2025 07:27
265	265	twint	31	05.02.2025 08:31
266	266	twint	40	05.02.2025 08:42
267	267	carte	73.5	05.02.2025 09:07
268	268	twint	48	05.02.2025 10:08
269	269	cash	25.5	05.02.2025 10:28
270	270	twint	37	05.02.2025 12:32
271	271	twint	40	05.02.2025 13:26
272	272	carte	76.5	05.02.2025 16:14
273	273	twint	58	05.02.2025 17:30
274	274	carte	26.5	05.02.2025 17:50
275	275	carte	8.5	05.02.2025 19:53
276	276	twint	41	06.02.2025 00:07
277	277	twint	56.5	06.02.2025 01:09
278	278	carte	92	06.02.2025 02:22
279	279	carte	45.5	06.02.2025 05:56
280	280	carte	26.5	06.02.2025 06:12
281	281	twint	35.5	06.02.2025 06:47
282	282	carte	99.5	06.02.2025 07:55
283	283	cash	43.5	06.02.2025 08:27
284	284	twint	87.5	06.02.2025 10:08
285	285	carte	49	06.02.2025 13:30
286	286	cash	24	06.02.2025 16:05
287	287	carte	57	06.02.2025 16:26
288	288	cash	44.5	06.02.2025 16:26
289	289	twint	39	06.02.2025 20:49
290	290	twint	22.5	06.02.2025 21:19
291	291	carte	22.5	06.02.2025 22:30
292	292	carte	0	07.02.2025 12:59
293	293	twint	56.5	07.02.2025 13:35
294	294	twint	86	07.02.2025 13:46
295	295	cash	26	07.02.2025 17:05
296	296	carte	0	07.02.2025 17:20
297	297	twint	47	07.02.2025 21:28
298	298	carte	69	07.02.2025 21:38
299	299	carte	74	07.02.2025 23:10
300	300	cash	36.5	07.02.2025 23:36
301	301	carte	40	08.02.2025 02:00
302	302	twint	63.5	08.02.2025 04:22
303	303	cash	20	08.02.2025 05:17
304	304	carte	14	08.02.2025 05:28
305	305	carte	86	08.02.2025 06:35
306	306	twint	59.5	08.02.2025 07:03
307	307	cash	48	08.02.2025 07:54
308	308	carte	53	08.02.2025 09:31
309	309	carte	78	08.02.2025 11:40
310	310	carte	58.5	08.02.2025 12:39
311	311	cash	45	08.02.2025 16:43
312	312	cash	43.5	08.02.2025 17:22
313	313	carte	68.5	08.02.2025 18:05
314	314	cash	80	08.02.2025 18:27
315	315	carte	58	08.02.2025 23:52
316	316	twint	39.5	09.02.2025 01:14
317	317	carte	42	09.02.2025 05:58
318	318	twint	33.5	09.02.2025 06:09
319	319	carte	33	09.02.2025 08:02
320	320	carte	59	09.02.2025 12:10
321	321	carte	19.5	09.02.2025 15:26
322	322	carte	22.5	09.02.2025 18:07
323	323	carte	65	09.02.2025 18:08
324	324	cash	22	10.02.2025 01:49
325	325	cash	43	10.02.2025 02:21
326	326	carte	67.5	10.02.2025 09:34
327	327	carte	67	10.02.2025 12:31
328	328	carte	43.5	10.02.2025 12:32
329	329	carte	36	10.02.2025 13:05
330	330	carte	25	10.02.2025 13:21
331	331	twint	68	10.02.2025 16:48
332	332	carte	32	10.02.2025 19:40
333	333	carte	24.5	10.02.2025 20:23
334	334	carte	53	10.02.2025 22:42
335	335	twint	0	11.02.2025 03:54
336	336	carte	37.5	11.02.2025 06:01
337	337	carte	64	11.02.2025 06:56
338	338	cash	17	11.02.2025 07:20
339	339	carte	62.5	11.02.2025 08:42
340	340	cash	18	11.02.2025 09:19
341	341	twint	68.5	11.02.2025 09:31
342	342	carte	20	11.02.2025 11:56
343	343	cash	76	11.02.2025 13:06
344	344	twint	57	11.02.2025 14:54
345	345	twint	42.5	11.02.2025 15:16
346	346	carte	45.5	11.02.2025 17:17
347	347	carte	49.5	11.02.2025 19:11
348	348	twint	76	11.02.2025 19:32
349	349	twint	46	11.02.2025 19:56
350	350	twint	58	11.02.2025 20:03
351	351	twint	19	11.02.2025 21:44
352	352	carte	42.5	11.02.2025 22:16
353	353	carte	95	11.02.2025 23:14
354	354	carte	25	11.02.2025 23:21
355	355	twint	47.5	12.02.2025 05:22
356	356	twint	66.5	12.02.2025 08:41
357	357	twint	53	12.02.2025 09:11
358	358	cash	52.5	12.02.2025 09:56
359	359	twint	40.5	12.02.2025 11:39
360	360	twint	70	12.02.2025 15:21
361	361	carte	43.5	12.02.2025 17:21
362	362	carte	68.5	12.02.2025 21:35
363	363	carte	38.5	12.02.2025 22:54
364	364	twint	66.5	12.02.2025 22:56
365	365	carte	90	13.02.2025 00:45
366	366	carte	28.5	13.02.2025 02:35
367	367	carte	46	13.02.2025 04:58
368	368	carte	83	13.02.2025 04:59
369	369	carte	46	13.02.2025 06:50
370	370	carte	54.5	13.02.2025 06:51
371	371	cash	24.5	13.02.2025 07:31
372	372	twint	49.5	13.02.2025 08:56
373	373	carte	23.5	13.02.2025 09:53
374	374	carte	43.5	13.02.2025 10:28
375	375	cash	83.5	13.02.2025 10:31
376	376	carte	50.5	13.02.2025 11:38
377	377	carte	28	13.02.2025 11:46
378	378	cash	41.5	13.02.2025 17:47
379	379	twint	68	13.02.2025 20:04
380	380	twint	40	14.02.2025 03:13
381	381	carte	56.5	14.02.2025 04:49
382	382	twint	23	14.02.2025 06:12
383	383	twint	84	14.02.2025 06:29
384	384	twint	81	14.02.2025 06:55
385	385	twint	66	14.02.2025 09:28
386	386	twint	52	14.02.2025 10:16
387	387	twint	30	14.02.2025 11:44
388	388	carte	52.5	14.02.2025 12:39
389	389	carte	80.5	14.02.2025 13:34
390	390	twint	43.5	14.02.2025 19:01
391	391	carte	39.5	15.02.2025 00:43
392	392	carte	26	15.02.2025 04:23
393	393	cash	77	15.02.2025 04:53
394	394	twint	77	15.02.2025 05:32
395	395	carte	24	15.02.2025 05:48
396	396	cash	30.5	15.02.2025 07:24
397	397	twint	22	15.02.2025 08:51
398	398	carte	50.5	15.02.2025 10:32
399	399	twint	31.5	15.02.2025 11:36
400	400	cash	29	15.02.2025 13:12
401	401	twint	66.5	15.02.2025 18:22
402	402	carte	49	15.02.2025 18:30
403	403	twint	62	15.02.2025 18:41
404	404	carte	29	15.02.2025 19:32
405	405	carte	45.5	15.02.2025 20:48
406	406	twint	48	15.02.2025 20:28
407	407	cash	72.5	16.02.2025 00:10
408	408	carte	44.5	16.02.2025 01:30
409	409	cash	96	16.02.2025 03:52
410	410	twint	47	16.02.2025 04:39
411	411	carte	56	16.02.2025 08:49
412	412	twint	98.5	16.02.2025 09:09
413	413	twint	47.5	16.02.2025 09:45
414	414	cash	23.25	16.02.2025 10:23
415	415	cash	65.5	16.02.2025 12:44
416	416	carte	60	16.02.2025 17:25
417	417	cash	46.5	17.02.2025 00:25
418	418	cash	45	17.02.2025 02:03
419	419	cash	36	17.02.2025 03:04
420	420	twint	18	17.02.2025 03:47
421	421	carte	46	17.02.2025 07:48
422	422	carte	50	17.02.2025 07:55
423	423	carte	61.5	17.02.2025 08:18
424	424	cash	36.5	17.02.2025 10:44
425	425	twint	60	17.02.2025 10:54
426	426	carte	34.5	17.02.2025 13:15
427	427	twint	18	17.02.2025 15:57
428	428	twint	58.5	17.02.2025 16:25
429	429	twint	43	17.02.2025 16:43
430	430	cash	78.5	17.02.2025 17:27
431	431	twint	44	17.02.2025 20:11
432	432	twint	0	17.02.2025 22:06
433	433	carte	41.5	17.02.2025 23:25
434	434	carte	0	18.02.2025 00:53
435	435	twint	26.75	18.02.2025 01:34
436	436	carte	112	18.02.2025 02:12
437	437	twint	25	18.02.2025 02:54
438	438	cash	52.5	18.02.2025 02:54
439	439	twint	0	18.02.2025 04:41
440	440	carte	32	18.02.2025 05:04
441	441	carte	33	18.02.2025 06:47
442	442	twint	37.5	18.02.2025 07:20
443	443	carte	77.5	18.02.2025 12:27
444	444	carte	0	18.02.2025 13:52
445	445	carte	44	18.02.2025 14:56
446	446	carte	61.5	18.02.2025 16:04
447	447	twint	92.5	18.02.2025 17:32
448	448	carte	28	18.02.2025 20:18
449	449	twint	42	18.02.2025 22:22
450	450	twint	18	18.02.2025 23:07
451	451	carte	37	19.02.2025 00:09
452	452	carte	17	19.02.2025 01:22
453	453	carte	60.5	19.02.2025 01:49
454	454	twint	14	19.02.2025 04:18
455	455	carte	64.5	19.02.2025 10:54
456	456	cash	35.5	19.02.2025 12:11
457	457	carte	59.5	19.02.2025 14:42
458	458	twint	55	19.02.2025 15:30
459	459	carte	61.5	19.02.2025 18:15
460	460	twint	74.5	19.02.2025 21:41
461	461	cash	25.5	20.02.2025 03:11
462	462	twint	50.5	20.02.2025 06:07
463	463	carte	44.5	20.02.2025 08:45
464	464	twint	41	20.02.2025 08:51
465	465	twint	47.5	20.02.2025 09:43
466	466	carte	17	20.02.2025 15:31
467	467	carte	67	20.02.2025 17:08
468	468	cash	50.5	20.02.2025 23:26
469	469	cash	61.5	20.02.2025 23:31
470	470	twint	55	20.02.2025 23:56
471	471	carte	37	21.02.2025 03:20
472	472	cash	83	21.02.2025 07:58
473	473	cash	20	21.02.2025 09:41
474	474	carte	44.5	21.02.2025 10:01
475	475	twint	65	21.02.2025 17:20
476	476	twint	44	21.02.2025 18:53
477	477	carte	18.5	21.02.2025 18:57
478	478	cash	45.5	21.02.2025 22:38
479	479	carte	45	21.02.2025 22:50
480	480	carte	32	22.02.2025 00:15
481	481	twint	72.5	22.02.2025 06:47
482	482	carte	43.5	22.02.2025 10:03
483	483	carte	41	22.02.2025 10:52
484	484	twint	31.5	22.02.2025 11:53
485	485	twint	54	22.02.2025 12:17
486	486	twint	54	22.02.2025 12:44
487	487	twint	47	22.02.2025 12:51
488	488	carte	52.5	22.02.2025 12:56
489	489	carte	69.5	22.02.2025 14:36
490	490	cash	48.5	22.02.2025 20:23
491	491	carte	42	22.02.2025 19:59
492	492	carte	0	22.02.2025 20:15
493	493	carte	46	23.02.2025 01:17
494	494	carte	45	23.02.2025 02:00
495	495	cash	34.5	23.02.2025 02:16
496	496	carte	67.5	23.02.2025 02:24
497	497	twint	0	23.02.2025 02:40
498	498	twint	74	23.02.2025 04:22
499	499	carte	58	23.02.2025 04:27
500	500	carte	84.5	23.02.2025 04:48
501	501	twint	136	23.02.2025 06:29
502	502	twint	60.5	23.02.2025 07:07
503	503	carte	19.5	23.02.2025 07:46
504	504	carte	70	23.02.2025 11:49
505	505	twint	75	23.02.2025 17:14
506	506	twint	22.5	23.02.2025 18:56
507	507	twint	44	23.02.2025 21:23
508	508	twint	56	23.02.2025 23:04
509	509	twint	43.5	24.02.2025 00:47
510	510	twint	18	24.02.2025 01:05
511	511	carte	42.5	24.02.2025 02:17
512	512	twint	26.5	24.02.2025 05:09
513	513	carte	43	24.02.2025 07:10
514	514	cash	39	24.02.2025 07:25
515	515	carte	47.5	24.02.2025 10:29
516	516	twint	38.5	24.02.2025 15:45
517	517	cash	79	24.02.2025 19:30
518	518	carte	32	24.02.2025 19:33
519	519	twint	76	24.02.2025 23:26
520	520	twint	27	25.02.2025 04:07
521	521	carte	70.5	25.02.2025 05:32
522	522	carte	40.5	25.02.2025 07:33
523	523	cash	58.5	25.02.2025 07:59
524	524	twint	59.5	25.02.2025 11:52
525	525	twint	84.5	25.02.2025 12:05
526	526	twint	64	25.02.2025 14:44
527	527	cash	45.5	25.02.2025 14:50
528	528	cash	47.5	25.02.2025 16:21
529	529	twint	0	25.02.2025 16:40
530	530	carte	23	25.02.2025 17:49
531	531	cash	57	26.02.2025 02:35
532	532	carte	66	26.02.2025 02:53
533	533	cash	41.5	26.02.2025 04:23
534	534	twint	49.5	26.02.2025 07:32
535	535	twint	36.5	26.02.2025 08:02
536	536	carte	28.5	26.02.2025 09:18
537	537	carte	42	26.02.2025 11:24
538	538	carte	70	26.02.2025 14:25
539	539	carte	39.5	26.02.2025 16:11
540	540	twint	37.5	26.02.2025 18:55
541	541	carte	50	27.02.2025 07:52
542	542	carte	53	27.02.2025 13:04
543	543	carte	43.5	27.02.2025 21:30
544	544	twint	38.5	27.02.2025 22:20
545	545	carte	59.5	27.02.2025 23:31
546	546	carte	40	28.02.2025 02:46
547	547	twint	22	28.02.2025 04:53
548	548	cash	39.5	28.02.2025 05:03
549	549	carte	74.5	28.02.2025 09:38
550	550	twint	40	28.02.2025 20:21
