livraison_id	commande_fk	livreur_fk	statut	date_depart	date_arrivee
87	87	2	livree	22.01.2025 22:57	22.01.2025 23:15
89	89	2	livree	22.01.2025 22:59	22.01.2025 23:08
94	94	1	livree	23.01.2025 13:34	23.01.2025 13:49
95	95	3	livree	23.01.2025 14:03	23.01.2025 14:18
97	97	2	livree	23.01.2025 16:47	23.01.2025 17:01
103	103	1	livree	24.01.2025 02:12	24.01.2025 02:22
104	104	6	livree	24.01.2025 04:16	24.01.2025 04:31
105	105	5	annulee	24.01.2025 04:47	24.01.2025 05:01
106	106	4	livree	24.01.2025 08:25	24.01.2025 08:40
108	108	1	livree	24.01.2025 11:34	24.01.2025 11:44
113	113	6	livree	24.01.2025 13:30	24.01.2025 13:45
115	115	5	livree	24.01.2025 23:02	24.01.2025 23:11
116	116	2	livree	25.01.2025 00:48	25.01.2025 00:56
119	119	5	livree	25.01.2025 05:23	25.01.2025 05:36
122	122	3	livree	25.01.2025 12:43	25.01.2025 12:51
130	130	2	livree	26.01.2025 10:22	26.01.2025 10:36
131	131	6	livree	26.01.2025 13:12	26.01.2025 13:30
137	137	2	livree	27.01.2025 05:12	27.01.2025 05:22
139	139	2	livree	27.01.2025 06:09	27.01.2025 06:17
144	144	5	livree	27.01.2025 12:35	27.01.2025 12:43
145	145	5	livree	27.01.2025 16:37	27.01.2025 16:47
146	146	2	livree	27.01.2025 17:42	27.01.2025 17:55
147	147	5	livree	28.01.2025 00:38	28.01.2025 00:47
150	150	2	livree	28.01.2025 12:06	28.01.2025 12:23
151	151	3	livree	28.01.2025 12:43	28.01.2025 12:52
155	155	1	livree	28.01.2025 19:36	28.01.2025 19:49
156	156	2	livree	28.01.2025 20:54	28.01.2025 21:10
158	158	1	livree	29.01.2025 01:57	29.01.2025 02:14
159	159	4	livree	29.01.2025 01:51	29.01.2025 02:02
160	160	3	livree	29.01.2025 11:39	29.01.2025 11:53
162	162	1	livree	29.01.2025 14:40	29.01.2025 14:56
163	163	2	livree	29.01.2025 14:46	29.01.2025 14:54
165	165	5	annulee	29.01.2025 15:30	29.01.2025 15:45
167	167	3	livree	29.01.2025 19:25	29.01.2025 19:35
168	168	3	livree	29.01.2025 21:43	29.01.2025 21:55
170	170	2	livree	30.01.2025 00:26	30.01.2025 00:42
171	171	2	livree	30.01.2025 00:48	30.01.2025 01:06
172	172	5	livree	30.01.2025 01:11	30.01.2025 01:20
182	182	1	livree	30.01.2025 17:26	30.01.2025 17:34
183	183	4	annulee	30.01.2025 17:29	30.01.2025 17:41
189	189	1	livree	31.01.2025 05:20	31.01.2025 05:32
192	192	3	livree	31.01.2025 07:32	31.01.2025 07:47
193	193	3	livree	31.01.2025 11:07	31.01.2025 11:25
194	194	1	livree	31.01.2025 12:59	31.01.2025 13:08
200	200	6	livree	01.02.2025 00:09	01.02.2025 00:19
201	201	1	livree	01.02.2025 02:53	01.02.2025 03:08
203	203	6	livree	01.02.2025 05:19	01.02.2025 05:32
204	204	3	livree	01.02.2025 06:08	01.02.2025 06:17
211	211	3	livree	01.02.2025 17:52	01.02.2025 18:01
216	216	1	livree	02.02.2025 00:07	02.02.2025 00:20
218	218	6	livree	02.02.2025 05:33	02.02.2025 05:46
221	221	6	livree	02.02.2025 16:46	02.02.2025 16:58
222	222	3	livree	02.02.2025 17:31	02.02.2025 17:39
223	223	4	livree	02.02.2025 18:25	02.02.2025 18:38
229	229	1	livree	02.02.2025 22:48	02.02.2025 23:04
232	232	1	livree	03.02.2025 02:35	03.02.2025 02:45
234	234	6	livree	03.02.2025 07:01	03.02.2025 07:16
235	235	1	livree	03.02.2025 07:49	03.02.2025 08:00
237	237	4	livree	03.02.2025 08:24	03.02.2025 08:33
243	243	5	livree	03.02.2025 16:03	03.02.2025 16:18
246	246	2	livree	03.02.2025 19:13	03.02.2025 19:30
249	249	2	livree	03.02.2025 22:23	03.02.2025 22:32
250	250	4	livree	04.02.2025 03:08	04.02.2025 03:24
251	251	1	livree	04.02.2025 03:22	04.02.2025 03:36
258	258	3	livree	04.02.2025 18:32	04.02.2025 18:48
259	259	2	livree	04.02.2025 18:40	04.02.2025 18:51
262	262	6	livree	05.02.2025 00:08	05.02.2025 00:17
263	263	5	livree	05.02.2025 03:58	05.02.2025 04:07
267	267	6	livree	05.02.2025 09:20	05.02.2025 09:30
268	268	4	livree	05.02.2025 10:18	05.02.2025 10:35
269	269	1	livree	05.02.2025 10:52	05.02.2025 11:10
273	273	5	livree	05.02.2025 17:48	05.02.2025 18:02
276	276	3	livree	06.02.2025 00:31	06.02.2025 00:39
284	284	3	livree	06.02.2025 10:19	06.02.2025 10:37
297	297	3	livree	07.02.2025 21:41	07.02.2025 21:57
299	299	5	livree	07.02.2025 23:21	07.02.2025 23:39
300	300	6	livree	07.02.2025 23:56	08.02.2025 00:07
301	301	4	livree	08.02.2025 02:16	08.02.2025 02:32
303	303	3	livree	08.02.2025 05:42	08.02.2025 05:51
310	310	6	livree	08.02.2025 13:00	08.02.2025 13:16
312	312	3	livree	08.02.2025 17:44	08.02.2025 18:01
313	313	4	livree	08.02.2025 18:28	08.02.2025 18:44
316	316	1	livree	09.02.2025 01:35	09.02.2025 01:48
318	318	6	livree	09.02.2025 06:34	09.02.2025 06:52
321	321	2	livree	09.02.2025 15:49	09.02.2025 16:00
323	323	5	livree	09.02.2025 18:32	09.02.2025 18:42
324	324	6	livree	10.02.2025 02:14	10.02.2025 02:26
325	325	4	livree	10.02.2025 02:43	10.02.2025 02:56
326	326	6	livree	10.02.2025 09:44	10.02.2025 09:57
327	327	6	livree	10.02.2025 12:45	10.02.2025 13:03
331	331	1	livree	10.02.2025 17:06	10.02.2025 17:14
333	333	3	livree	10.02.2025 20:39	10.02.2025 20:56
334	334	2	livree	10.02.2025 22:57	10.02.2025 23:11
338	338	1	livree	11.02.2025 07:39	11.02.2025 07:57
339	339	1	livree	11.02.2025 08:55	11.02.2025 09:09
340	340	4	livree	11.02.2025 09:30	11.02.2025 09:47
341	341	3	livree	11.02.2025 09:56	11.02.2025 10:08
342	342	3	livree	11.02.2025 12:16	11.02.2025 12:28
343	343	4	livree	11.02.2025 13:24	11.02.2025 13:33
345	345	5	livree	11.02.2025 15:36	11.02.2025 15:50
352	352	5	livree	11.02.2025 22:38	11.02.2025 22:52
355	355	5	livree	12.02.2025 05:40	12.02.2025 05:51
356	356	4	livree	12.02.2025 08:56	12.02.2025 09:06
361	361	1	livree	12.02.2025 17:39	12.02.2025 17:48
362	362	4	livree	12.02.2025 22:00	12.02.2025 22:14
363	363	5	livree	12.02.2025 23:17	12.02.2025 23:33
364	364	6	livree	12.02.2025 23:10	12.02.2025 23:19
365	365	6	livree	13.02.2025 01:05	13.02.2025 01:20
375	375	4	livree	13.02.2025 10:54	13.02.2025 11:05
380	380	6	livree	14.02.2025 03:29	14.02.2025 03:40
382	382	4	livree	14.02.2025 06:25	14.02.2025 06:43
384	384	5	livree	14.02.2025 07:17	14.02.2025 07:25
389	389	3	livree	14.02.2025 13:48	14.02.2025 13:59
391	391	5	livree	15.02.2025 01:06	15.02.2025 01:17
392	392	6	livree	15.02.2025 04:35	15.02.2025 04:46
393	393	6	livree	15.02.2025 05:05	15.02.2025 05:22
395	395	5	livree	15.02.2025 06:08	15.02.2025 06:23
396	396	2	livree	15.02.2025 07:47	15.02.2025 07:58
397	397	5	livree	15.02.2025 09:06	15.02.2025 09:16
404	404	1	livree	15.02.2025 19:55	15.02.2025 20:08
405	405	1	livree	15.02.2025 21:03	15.02.2025 21:13
408	408	6	livree	16.02.2025 01:44	16.02.2025 01:59
409	409	6	livree	16.02.2025 04:10	16.02.2025 04:20
410	410	2	livree	16.02.2025 04:55	16.02.2025 05:07
413	413	4	livree	16.02.2025 10:04	16.02.2025 10:12
415	415	6	livree	16.02.2025 13:09	16.02.2025 13:22
416	416	2	livree	16.02.2025 17:43	16.02.2025 17:51
417	417	4	livree	17.02.2025 00:37	17.02.2025 00:55
418	418	1	livree	17.02.2025 02:18	17.02.2025 02:29
419	419	5	livree	17.02.2025 03:16	17.02.2025 03:24
420	420	4	livree	17.02.2025 04:05	17.02.2025 04:20
424	424	4	livree	17.02.2025 10:55	17.02.2025 11:06
425	425	2	livree	17.02.2025 11:19	17.02.2025 11:35
430	430	2	livree	17.02.2025 17:41	17.02.2025 17:49
431	431	6	livree	17.02.2025 20:33	17.02.2025 20:43
432	432	6	annulee	17.02.2025 22:24	17.02.2025 22:35
435	435	1	annulee	18.02.2025 01:40	18.02.2025 01:54
441	441	4	livree	18.02.2025 07:00	18.02.2025 07:11
444	444	3	annulee	18.02.2025 14:11	18.02.2025 14:22
449	449	4	livree	18.02.2025 22:42	18.02.2025 22:50
450	450	2	livree	18.02.2025 23:21	18.02.2025 23:36
454	454	6	livree	19.02.2025 04:38	19.02.2025 04:50
455	455	4	livree	19.02.2025 11:04	19.02.2025 11:12
458	458	5	livree	19.02.2025 15:52	19.02.2025 16:03
461	461	5	livree	20.02.2025 03:29	20.02.2025 03:40
468	468	6	livree	20.02.2025 23:42	20.02.2025 23:52
472	472	6	livree	21.02.2025 08:16	21.02.2025 08:27
474	474	4	livree	21.02.2025 10:14	21.02.2025 10:27
476	476	5	livree	21.02.2025 19:18	21.02.2025 19:31
477	477	3	livree	21.02.2025 19:16	21.02.2025 19:27
479	479	4	livree	21.02.2025 23:13	21.02.2025 23:27
480	480	5	livree	22.02.2025 00:25	22.02.2025 00:35
481	481	2	livree	22.02.2025 06:59	22.02.2025 07:09
486	486	6	livree	22.02.2025 13:07	22.02.2025 13:19
487	487	1	livree	22.02.2025 13:15	22.02.2025 13:29
490	490	3	livree	22.02.2025 20:39	22.02.2025 20:56
493	493	4	livree	23.02.2025 01:29	23.02.2025 01:47
496	496	4	livree	23.02.2025 02:48	23.02.2025 03:00
498	498	1	livree	23.02.2025 04:41	23.02.2025 04:50
500	500	2	livree	23.02.2025 05:01	23.02.2025 05:10
501	501	5	livree	23.02.2025 06:53	23.02.2025 07:05
502	502	2	livree	23.02.2025 07:24	23.02.2025 07:32
505	505	5	livree	23.02.2025 17:25	23.02.2025 17:40
507	507	2	livree	23.02.2025 21:35	23.02.2025 21:50
512	512	1	livree	24.02.2025 05:31	24.02.2025 05:45
514	514	4	livree	24.02.2025 07:36	24.02.2025 07:54
516	516	3	livree	24.02.2025 15:57	24.02.2025 16:10
517	517	3	livree	24.02.2025 19:41	24.02.2025 19:57
518	518	4	livree	24.02.2025 19:45	24.02.2025 20:02
519	519	2	livree	24.02.2025 23:40	24.02.2025 23:52
525	525	1	livree	25.02.2025 12:15	25.02.2025 12:28
526	526	4	livree	25.02.2025 14:54	25.02.2025 15:06
532	532	2	livree	26.02.2025 03:08	26.02.2025 03:21
533	533	2	livree	26.02.2025 04:47	26.02.2025 05:00
535	535	1	livree	26.02.2025 08:26	26.02.2025 08:38
537	537	5	livree	26.02.2025 11:42	26.02.2025 12:00
538	538	3	livree	26.02.2025 14:38	26.02.2025 14:49
539	539	1	livree	26.02.2025 16:34	26.02.2025 16:52
542	542	5	livree	27.02.2025 13:19	27.02.2025 13:33
544	544	4	livree	27.02.2025 22:30	27.02.2025 22:47
547	547	5	livree	28.02.2025 05:08	28.02.2025 05:16
