ligne_id	commande_fk	article_fk	quantite	prix_unitaire	parent_ligne_fk
222	73	28	1	6	
223	74	5	1	17	
224	74	6	1	19	
225	74	28	1	6	
226	75	6	1	19	
227	75	28	1	6	
228	76	8	1	20.5	
229	76	24	1	4	
230	77	8	1	20.5	
231	77	29	1	5.5	
232	78	7	1	19.5	
233	78	3	1	20	
234	78	26	1	4.5	
235	78	25	1	5	
236	78	29	1	5.5	
237	79	1	1	14	
238	80	3	1	20	
239	80	23	1	4.5	
240	80	25	1	5	
241	80	28	1	6	
242	81	3	1	20	
243	81	6	1	19	
244	81	7	1	19.5	
245	82	3	1	20	
246	82	4	1	18	
247	82	23	1	4.5	
248	83	6	1	19	
249	83	5	1	17	
250	83	8	1	20.5	
251	83	24	1	4	
252	83	27	1	6	
253	84	5	1	17	
254	84	2	1	18	
255	84	8	1	20.5	
256	84	30	1	5	
257	85	4	1	18	
258	85	8	1	20.5	
259	85	21	1	3	
260	85	22	1	4	
261	86	7	1	19.5	
262	86	24	1	4	
263	86	24	1	4	
264	87	4	2	18	
265	87	7	1	19.5	
266	87	27	1	6	
267	88	5	1	17	
268	88	7	1	19.5	
269	88	25	1	5	
270	88	25	1	5	
271	89	3	1	20	
272	90	3	1	20	
273	91	7	1	19.5	
274	91	4	1	18	
275	91	5	1	17	
276	91	27	1	6	
277	92	1	1	14	
278	92	2	1	18	
279	92	8	2	20.5	
280	93	4	1	18	
281	93	8	1	20.5	
282	93	23	1	4.5	
283	93	23	1	4.5	
284	94	8	1	20.5	
285	95	6	1	19	
286	95	4	2	18	
287	95	26	1	4.5	
288	95	26	1	4.5	
289	96	8	1	20.5	
290	96	22	1	4	
291	96	25	1	5	
292	97	1	1	14	
293	98	6	1	19	
294	98	4	1	18	
295	98	24	1	4	
296	99	6	2	19	
297	99	3	1	20	
298	99	24	1	4	
299	99	28	1	6	
300	100	7	2	19.5	
301	100	2	2	18	
302	100	26	1	4.5	
303	101	3	1	20	
304	101	1	1	14	
305	101	2	1	18	
306	101	26	1	4.5	
307	102	8	1	20.5	
308	102	7	1	19.5	
309	103	6	1	19	
310	103	8	1	20.5	
311	103	3	1	20	
312	104	3	2	20	
313	104	4	2	18	
314	104	26	1	4.5	
315	104	24	1	4	
316	105	6	1	19	
317	106	5	1	17	
318	106	3	1	20	
319	106	25	1	5	
320	106	22	1	4	
321	107	6	1	19	
322	107	2	1	18	
323	107	4	1	18	
324	107	26	1	4.5	
325	107	22	1	4	
326	108	7	2	19.5	
327	108	24	1	4	
328	108	30	1	5	
329	109	1	2	14	
330	109	2	1	18	
331	109	26	1	4.5	
332	110	4	1	18	
333	110	7	1	19.5	
334	110	22	1	4	
335	111	5	2	17	
336	111	3	1	20	
337	111	23	1	4.5	
338	111	27	1	6	
339	112	2	1	18	
340	112	4	1	18	
341	112	21	1	3	
342	112	30	1	5	
343	113	2	2	18	
344	113	23	1	4.5	
345	114	6	1	19	
346	114	8	1	20.5	
347	114	24	1	4	
348	114	29	1	5.5	
349	115	6	1	19	
350	115	7	1	19.5	
351	115	5	1	17	
352	115	25	1	5	
353	115	30	1	5	
354	116	8	2	20.5	
355	116	2	1	18	
356	116	23	1	4.5	
357	116	28	1	6	
358	117	7	1	19.5	
359	117	8	1	20.5	
360	117	22	1	4	
361	118	3	1	20	
362	119	7	1	19.5	
363	119	5	1	17	
364	119	3	1	20	
365	120	8	1	20.5	
366	120	4	1	18	
367	121	3	2	20	
368	121	25	1	5	
369	121	22	1	4	
370	121	29	1	5.5	
371	122	2	1	18	
372	122	5	1	17	
373	122	27	1	6	
374	123	1	1	14	
375	123	6	1	19	
376	123	7	2	19.5	
377	123	29	1	5.5	
378	124	3	2	20	
379	124	7	1	19.5	
380	124	26	1	4.5	
381	125	7	1	19.5	
382	125	3	2	20	
383	125	22	1	4	
384	125	29	1	5.5	
385	126	5	2	17	
386	126	21	1	3	
387	127	3	1	20	
388	127	6	2	19	
389	127	30	1	5	
390	128	7	1	19.5	
391	128	2	1	18	
392	128	21	1	3	
393	128	30	1	5	
394	129	3	1	20	
395	129	1	1	14	
396	130	4	1	18	
397	130	8	1	20.5	
398	130	22	1	4	
399	131	2	1	18	
400	131	8	1	20.5	
401	132	5	1	17	
402	132	8	1	20.5	
403	133	1	1	14	
404	133	3	1	20	
405	133	4	1	18	
406	133	22	1	4	
407	134	1	1	14	
408	134	28	1	6	
409	135	4	1	18	
410	135	21	1	3	
411	135	26	1	4.5	
412	136	3	1	20	
413	136	4	2	18	
414	136	30	1	5	
415	137	2	1	18	
416	137	6	1	19	
417	138	5	1	17	
418	138	21	1	3	
419	139	8	1	20.5	
420	139	4	2	18	
421	139	22	1	4	
422	139	28	1	6	
423	140	2	2	18	
424	140	4	1	18	
425	140	8	1	20.5	
426	140	30	1	5	
427	141	1	1	14	
428	141	8	1	20.5	
429	141	5	1	17	
430	141	29	1	5.5	
431	142	8	1	20.5	
432	142	4	1	18	
433	142	21	1	3	
434	143	1	1	14	
435	143	6	1	19	
436	143	29	1	5.5	
437	144	8	1	20.5	
438	144	4	1	18	
439	145	6	1	19	
440	145	7	2	19.5	
441	146	7	1	19.5	
442	146	1	1	14	
443	146	4	1	18	
444	146	25	1	5	
445	146	29	1	5.5	
446	147	1	1	14	
447	147	4	2	18	
448	148	6	2	19	
449	148	2	2	18	
450	149	4	2	18	
451	149	2	1	18	
452	149	26	1	4.5	
453	149	30	1	5	
454	150	8	1	20.5	
455	151	8	1	20.5	
456	151	4	2	18	
457	151	23	1	4.5	
458	152	2	1	18	
459	152	4	1	18	
460	153	4	1	18	
461	153	7	1	19.5	
462	153	6	1	19	
463	154	7	1	19.5	
464	154	1	1	14	
465	154	21	1	3	
466	154	28	1	6	
467	155	5	1	17	
468	155	23	1	4.5	
469	155	29	1	5.5	
470	156	6	2	19	
471	156	5	1	17	
472	156	1	1	14	
473	157	7	2	19.5	
474	157	27	1	6	
475	158	7	1	19.5	
476	158	8	1	20.5	
477	158	4	1	18	
478	159	6	1	19	
479	159	1	1	14	
480	159	23	1	4.5	
481	160	5	1	17	
482	160	24	1	4	
483	160	25	1	5	
484	161	5	1	17	
485	161	22	1	4	
486	162	5	2	17	
487	162	3	2	20	
488	162	23	1	4.5	
489	163	7	1	19.5	
490	163	23	1	4.5	
491	163	29	1	5.5	
492	164	7	1	19.5	
493	164	30	1	5	
494	165	7	1	19.5	
495	165	21	1	3	
496	165	23	1	4.5	
497	166	1	2	14	
498	166	7	1	19.5	
499	166	23	1	4.5	
500	166	27	1	6	
501	167	2	2	18	
502	167	26	1	4.5	
503	168	7	1	19.5	
504	168	6	1	19	
505	169	8	2	20.5	
506	169	1	1	14	
507	170	1	1	14	
508	170	8	2	20.5	
509	171	6	1	19	
510	171	3	1	20	
511	171	23	1	4.5	
512	171	30	1	5	
513	172	2	1	18	
514	172	6	1	19	
515	172	21	1	3	
516	172	26	1	4.5	
517	173	1	2	14	
518	173	3	2	20	
519	173	21	1	3	
520	173	28	1	6	
521	174	1	1	14	
522	174	3	2	20	
523	174	8	1	20.5	
524	174	26	1	4.5	
525	175	1	2	14	
526	175	5	2	17	
527	175	22	1	4	
528	175	30	1	5	
529	176	5	1	17	
530	177	8	1	20.5	
531	177	21	1	3	
532	177	25	1	5	
533	178	1	2	14	
534	178	2	2	18	
535	178	22	1	4	
536	179	3	2	20	
537	179	7	2	19.5	
538	179	26	1	4.5	
539	179	23	1	4.5	
540	179	27	1	6	
541	180	8	1	20.5	
542	180	1	1	14	
543	180	23	1	4.5	
544	180	28	1	6	
545	181	6	1	19	
546	181	2	1	18	
547	181	3	2	20	
548	181	30	1	5	
549	182	4	1	18	
550	182	22	1	4	
551	183	2	1	18	
552	183	4	1	18	
553	183	26	1	4.5	
554	183	21	1	3	
555	183	29	1	5.5	
556	184	1	1	14	
557	184	7	1	19.5	
558	185	6	2	19	
559	185	1	1	14	
560	186	4	1	18	
561	186	7	1	19.5	
562	186	25	1	5	
563	187	2	2	18	
564	187	22	1	4	
565	187	27	1	6	
566	188	1	1	14	
567	188	3	1	20	
568	188	21	1	3	
569	188	27	1	6	
570	189	6	1	19	
571	189	4	1	18	
572	189	23	1	4.5	
573	189	22	1	4	
574	190	5	2	17	
575	190	23	1	4.5	
576	190	25	1	5	
577	190	29	1	5.5	
578	191	3	1	20	
579	191	5	1	17	
580	191	23	1	4.5	
581	191	29	1	5.5	
582	192	8	1	20.5	
583	192	27	1	6	
584	193	5	2	17	
585	193	2	1	18	
586	193	22	1	4	
587	194	6	1	19	
588	194	3	1	20	
589	194	4	2	18	
590	194	24	1	4	
591	194	25	1	5	
592	195	3	2	20	
593	195	23	1	4.5	
594	196	8	1	20.5	
595	196	1	1	14	
596	196	27	1	6	
597	197	5	1	17	
598	197	6	1	19	
599	197	23	1	4.5	
600	197	24	1	4	
601	198	5	1	17	
602	198	8	2	20.5	
603	198	26	1	4.5	
604	199	5	1	17	
605	199	3	1	20	
606	199	25	1	5	
607	200	2	2	18	
608	200	22	1	4	
609	201	4	2	18	
610	201	3	1	20	
611	201	24	1	4	
612	201	27	1	6	
613	202	4	1	18	
614	202	23	1	4.5	
615	203	1	1	14	
616	203	5	2	17	
617	203	2	2	18	
618	204	7	1	19.5	
619	204	22	1	4	
620	204	24	1	4	
621	205	8	1	20.5	
622	205	2	1	18	
623	206	3	1	20	
624	206	4	2	18	
625	206	28	1	6	
626	207	5	1	17	
627	207	7	1	19.5	
628	208	3	1	20	
629	208	1	1	14	
630	208	7	1	19.5	
631	208	25	1	5	
632	208	24	1	4	
633	209	1	1	14	
634	209	24	1	4	
635	210	7	1	19.5	
636	210	4	1	18	
637	210	1	1	14	
638	210	23	1	4.5	
639	210	24	1	4	
640	211	6	1	19	
641	211	3	1	20	
642	211	8	1	20.5	
643	211	21	1	3	
644	212	7	1	19.5	
645	212	24	1	4	
646	213	3	1	20	
647	214	4	1	18	
648	215	5	1	17	
649	215	24	1	4	
650	216	8	1	20.5	
651	216	3	1	20	
652	216	6	1	19	
653	216	22	1	4	
654	216	29	1	5.5	
655	217	4	1	18	
656	217	8	1	20.5	
657	217	22	1	4	
658	217	28	1	6	
659	218	8	1	20.5	
660	219	2	1	18	
661	219	5	1	17	
662	219	25	1	5	
663	219	21	1	3	
664	220	3	2	20	
665	220	1	1	14	
666	220	21	1	3	
667	221	5	1	17	
668	221	1	2	14	
669	221	28	1	6	
670	222	8	1	20.5	
671	222	4	1	18	
672	222	1	1	14	
673	222	23	1	4.5	
674	223	6	1	19	
675	224	3	1	20	
676	224	26	1	4.5	
677	225	7	1	19.5	
678	225	23	1	4.5	
679	226	1	1	14	
680	227	5	2	17	
681	227	2	1	18	
682	228	8	2	20.5	
683	228	4	1	18	
684	228	24	1	4	
685	228	28	1	6	
686	229	8	2	20.5	
687	229	1	1	14	
688	230	1	2	14	
689	230	26	1	4.5	
690	231	8	2	20.5	
691	231	2	1	18	
692	231	23	1	4.5	
693	232	3	1	20	
694	232	8	1	20.5	
695	233	8	1	20.5	
696	233	1	1	14	
697	233	4	1	18	
698	233	23	1	4.5	
699	233	22	1	4	
700	234	3	1	20	
701	234	4	1	18	
702	234	21	1	3	
703	235	1	1	14	
704	235	26	1	4.5	
705	236	7	1	19.5	
706	236	1	1	14	
707	237	6	1	19	
708	237	24	1	4	
709	238	8	1	20.5	
710	238	6	2	19	
711	239	4	1	18	
712	239	5	1	17	
713	239	24	1	4	
714	239	29	1	5.5	
715	240	3	1	20	
716	240	7	1	19.5	
717	240	23	1	4.5	
718	241	7	2	19.5	
719	241	5	1	17	
720	241	26	1	4.5	
721	242	5	2	17	
722	243	4	1	18	
723	243	1	1	14	
724	244	7	1	19.5	
725	244	4	1	18	
726	244	8	1	20.5	
727	245	7	1	19.5	
728	245	4	1	18	
729	245	1	2	14	
730	245	22	1	4	
731	245	25	1	5	
732	246	7	1	19.5	
733	247	8	1	20.5	
734	247	1	1	14	
735	247	4	1	18	
736	247	25	1	5	
737	247	27	1	6	
738	248	6	2	19	
739	248	7	1	19.5	
740	248	24	1	4	
741	249	1	1	14	
742	249	29	1	5.5	
743	250	1	1	14	
744	250	2	1	18	
745	251	6	1	19	
746	251	1	1	14	
747	251	24	1	4	
748	252	5	1	17	
749	253	7	1	19.5	
750	253	4	1	18	
751	253	26	1	4.5	
752	254	5	1	17	
753	254	26	1	4.5	
754	254	27	1	6	
755	255	2	1	18	
756	255	21	1	3	
757	255	27	1	6	
758	256	4	1	18	
759	256	21	1	3	
760	257	2	1	18	
761	257	1	2	14	
762	257	24	1	4	
763	258	3	2	20	
764	258	26	1	4.5	
765	258	30	1	5	
766	259	1	2	14	
767	259	5	1	17	
768	259	21	1	3	
769	260	8	1	20.5	
770	260	5	1	17	
771	260	3	1	20	
772	261	7	1	19.5	
773	261	4	1	18	
774	262	2	2	18	
775	262	25	1	5	
776	262	25	1	5	
777	262	30	1	5	
778	263	8	1	20.5	
779	263	1	1	14	
780	263	25	1	5	
781	264	3	1	20	
782	264	1	2	14	
783	264	27	1	6	
784	265	2	1	18	
785	265	21	1	3	
786	265	27	1	6	
787	266	4	1	18	
788	266	7	1	19.5	
789	267	8	1	20.5	
790	267	3	1	20	
791	267	5	1	17	
792	267	25	1	5	
793	267	25	1	5	
794	267	27	1	6	
795	268	6	1	19	
796	268	8	1	20.5	
797	268	21	1	3	
798	269	7	1	19.5	
799	269	27	1	6	
800	270	1	1	14	
801	270	8	1	20.5	
802	271	6	1	19	
803	271	1	1	14	
804	271	25	1	5	
805	272	3	2	20	
806	272	6	1	19	
807	272	1	1	14	
808	273	6	1	19	
809	273	4	2	18	
810	273	21	1	3	
811	274	4	1	18	
812	274	22	1	4	
813	274	23	1	4.5	
814	275	5	1	17	
815	276	2	2	18	
816	276	21	1	3	
817	277	7	1	19.5	
818	277	4	1	18	
819	277	1	1	14	
820	277	25	1	5	
821	278	1	2	14	
822	278	5	2	17	
823	278	6	1	19	
824	278	28	1	6	
825	279	3	2	20	
826	280	4	1	18	
827	280	22	1	4	
828	280	26	1	4.5	
829	281	7	1	19.5	
830	281	22	1	4	
831	281	26	1	4.5	
832	281	28	1	6	
833	282	1	2	14	
834	282	3	1	20	
835	282	8	2	20.5	
836	283	3	1	20	
837	283	4	1	18	
838	284	3	2	20	
839	284	7	1	19.5	
840	284	2	1	18	
841	284	23	1	4.5	
842	285	8	1	20.5	
843	285	7	1	19.5	
844	285	25	1	5	
845	286	4	1	18	
846	286	24	1	4	
847	287	4	2	18	
848	287	5	1	17	
849	287	24	1	4	
850	288	2	1	18	
851	288	7	1	19.5	
852	288	23	1	4.5	
853	289	5	1	17	
854	289	1	1	14	
855	289	22	1	4	
856	290	8	1	20.5	
857	291	1	1	14	
858	291	24	1	4	
859	291	26	1	4.5	
860	292	3	1	20	
861	292	25	1	5	
862	293	8	1	20.5	
863	293	6	1	19	
864	293	24	1	4	
865	293	28	1	6	
866	294	7	2	19.5	
867	294	4	2	18	
868	294	28	1	6	
869	295	8	1	20.5	
870	295	22	1	4	
871	296	8	1	20.5	
872	296	3	1	20	
873	296	28	1	6	
874	297	1	1	14	
875	297	2	1	18	
876	297	25	1	5	
877	297	29	1	5.5	
878	298	8	1	20.5	
879	298	4	1	18	
880	298	3	1	20	
881	298	22	1	4	
882	299	5	1	17	
883	299	1	1	14	
884	299	8	2	20.5	
885	300	1	2	14	
886	300	21	1	3	
887	300	21	1	3	
888	301	3	2	20	
889	302	6	1	19	
890	302	1	1	14	
891	302	4	1	18	
892	302	28	1	6	
893	303	3	1	20	
894	304	1	1	14	
895	305	7	2	19.5	
896	305	2	1	18	
897	305	6	1	19	
898	305	30	1	5	
899	306	1	1	14	
900	306	6	1	19	
901	306	2	1	18	
902	306	28	1	6	
903	307	4	1	18	
904	307	2	1	18	
905	307	23	1	4.5	
906	307	30	1	5	
907	308	8	1	20.5	
908	308	4	1	18	
909	308	23	1	4.5	
910	308	25	1	5	
911	309	2	2	18	
912	309	3	2	20	
913	310	2	1	18	
914	310	4	2	18	
915	310	23	1	4.5	
916	311	4	1	18	
917	311	2	1	18	
918	311	22	1	4	
919	311	30	1	5	
920	312	2	1	18	
921	312	6	1	19	
922	312	26	1	4.5	
923	313	6	2	19	
924	313	7	1	19.5	
925	313	27	1	6	
926	314	8	1	20.5	
927	314	2	1	18	
928	314	5	2	17	
929	314	24	1	4	
930	315	6	1	19	
931	315	1	1	14	
932	315	5	1	17	
933	315	21	1	3	
934	316	6	1	19	
935	316	8	1	20.5	
936	317	2	1	18	
937	317	7	1	19.5	
938	318	1	1	14	
939	318	7	1	19.5	
940	319	1	2	14	
941	319	25	1	5	
942	320	2	1	18	
943	320	1	1	14	
944	320	4	1	18	
945	321	7	1	19.5	
946	322	2	1	18	
947	323	3	1	20	
948	323	5	2	17	
949	323	28	1	6	
950	324	5	1	17	
951	324	25	1	5	
952	325	4	1	18	
953	325	6	1	19	
954	325	28	1	6	
955	326	4	1	18	
956	326	6	1	19	
957	326	5	1	17	
958	326	22	1	4	
959	326	28	1	6	
960	327	7	1	19.5	
961	327	6	2	19	
962	327	25	1	5	
963	327	26	1	4.5	
964	328	3	1	20	
965	328	6	1	19	
966	328	26	1	4.5	
967	329	4	1	18	
968	329	1	1	14	
969	329	24	1	4	
970	330	3	1	20	
971	330	25	1	5	
972	331	2	1	18	
973	331	8	2	20.5	
974	331	25	1	5	
975	331	22	1	4	
976	332	1	1	14	
977	332	2	1	18	
978	333	2	1	18	
979	333	22	1	4	
980	334	3	1	20	
981	334	4	1	18	
982	334	26	1	4.5	
983	334	26	1	4.5	
984	334	28	1	6	
985	335	2	2	18	
986	335	5	2	17	
987	335	23	1	4.5	
988	335	28	1	6	
989	336	5	1	17	
990	336	8	1	20.5	
991	337	7	1	19.5	
992	337	4	2	18	
993	338	5	1	17	
994	339	4	2	18	
995	339	1	1	14	
996	339	30	1	5	
997	340	4	1	18	
998	341	6	2	19	
999	341	7	1	19.5	
1000	341	27	1	6	
1001	342	1	1	14	
1002	342	27	1	6	
1003	343	8	1	20.5	
1004	343	2	1	18	
1005	343	1	2	14	
1006	343	23	1	4.5	
1007	343	30	1	5	
1008	344	4	2	18	
1009	344	1	1	14	
1010	345	7	1	19.5	
1011	345	5	1	17	
1012	345	21	1	3	
1013	346	3	1	20	
1014	346	6	1	19	
1015	347	2	1	18	
1016	347	8	1	20.5	
1017	347	24	1	4	
1018	347	25	1	5	
1019	348	2	1	18	
1020	348	3	1	20	
1021	348	7	1	19.5	
1022	348	28	1	6	
1023	349	3	1	20	
1024	349	8	1	20.5	
1025	349	29	1	5.5	
1026	350	4	1	18	
1027	350	2	2	18	
1028	350	22	1	4	
1029	351	6	1	19	
1030	352	5	1	17	
1031	352	1	1	14	
1032	352	21	1	3	
1033	352	30	1	5	
1034	353	8	1	20.5	
1035	353	5	1	17	
1036	353	6	2	19	
1037	353	23	1	4.5	
1038	353	22	1	4	
1039	353	27	1	6	
1040	354	6	1	19	
1041	354	28	1	6	
1042	355	5	1	17	
1043	355	2	1	18	
1044	355	30	1	5	
1045	356	6	1	19	
1046	356	2	2	18	
1047	356	26	1	4.5	
1048	356	29	1	5.5	
1049	357	7	1	19.5	
1050	357	1	2	14	
1051	358	1	2	14	
1052	358	7	1	19.5	
1053	358	25	1	5	
1054	359	2	2	18	
1055	360	7	1	19.5	
1056	360	6	2	19	
1057	360	23	1	4.5	
1058	360	29	1	5.5	
1059	361	3	1	20	
1060	361	6	1	19	
1061	361	23	1	4.5	
1062	362	8	2	20.5	
1063	362	7	1	19.5	
1064	362	30	1	5	
1065	363	4	1	18	
1066	363	8	1	20.5	
1067	364	1	1	14	
1068	364	3	1	20	
1069	364	5	1	17	
1070	364	24	1	4	
1071	364	28	1	6	
1072	365	2	2	18	
1073	365	6	1	19	
1074	365	5	1	17	
1075	365	25	1	5	
1076	365	26	1	4.5	
1077	366	3	1	20	
1078	366	25	1	5	
1079	367	4	1	18	
1080	367	8	1	20.5	
1081	367	24	1	4	
1082	368	2	1	18	
1083	368	1	2	14	
1084	368	3	1	20	
1085	368	22	1	4	
1086	368	27	1	6	
1087	369	5	1	17	
1088	369	4	1	18	
1089	369	26	1	4.5	
1090	370	5	2	17	
1091	370	2	1	18	
1092	371	6	1	19	
1093	372	8	2	20.5	
1094	372	22	1	4	
1095	373	8	1	20.5	
1096	373	21	1	3	
1097	374	6	1	19	
1098	374	5	1	17	
1099	374	26	1	4.5	
1100	374	21	1	3	
1101	375	7	1	19.5	
1102	375	2	2	18	
1103	375	5	1	17	
1104	375	26	1	4.5	
1105	375	21	1	3	
1106	376	2	1	18	
1107	376	3	1	20	
1108	376	24	1	4	
1109	376	29	1	5.5	
1110	377	5	1	17	
1111	377	26	1	4.5	
1112	377	24	1	4	
1113	378	5	2	17	
1114	378	26	1	4.5	
1115	379	3	1	20	
1116	379	8	1	20.5	
1117	379	6	1	19	
1118	379	30	1	5	
1119	380	2	2	18	
1120	380	22	1	4	
1121	381	2	1	18	
1122	381	6	1	19	
1123	381	24	1	4	
1124	381	23	1	4.5	
1125	381	28	1	6	
1126	382	2	1	18	
1127	382	25	1	5	
1128	383	8	2	20.5	
1129	383	5	1	17	
1130	383	4	1	18	
1131	383	22	1	4	
1132	384	7	2	19.5	
1133	384	1	1	14	
1134	384	8	1	20.5	
1135	384	30	1	5	
1136	385	3	1	20	
1137	385	4	2	18	
1138	385	29	1	5.5	
1139	386	2	1	18	
1140	386	5	2	17	
1141	387	7	1	19.5	
1142	387	26	1	4.5	
1143	387	27	1	6	
1144	388	8	1	20.5	
1145	388	7	1	19.5	
1146	388	26	1	4.5	
1147	388	21	1	3	
1148	388	30	1	5	
1149	389	1	1	14	
1150	389	8	1	20.5	
1151	389	3	2	20	
1152	389	27	1	6	
1153	390	8	1	20.5	
1154	390	2	1	18	
1155	391	5	1	17	
1156	391	2	1	18	
1157	391	23	1	4.5	
1158	392	5	1	17	
1159	392	24	1	4	
1160	393	6	1	19	
1161	393	2	2	18	
1162	393	4	1	18	
1163	394	8	1	20.5	
1164	394	4	2	18	
1165	394	1	1	14	
1166	395	1	1	14	
1167	395	29	1	5.5	
1168	396	2	1	18	
1169	396	21	1	3	
1170	396	22	1	4	
1171	396	29	1	5.5	
1172	397	1	1	14	
1173	397	21	1	3	
1174	397	30	1	5	
1175	398	7	1	19.5	
1176	398	6	1	19	
1177	398	24	1	4	
1178	398	29	1	5.5	
1179	399	4	1	18	
1180	399	24	1	4	
1181	399	22	1	4	
1182	400	8	1	20.5	
1183	400	23	1	4.5	
1184	400	24	1	4	
1185	401	2	1	18	
1186	401	8	2	20.5	
1187	401	25	1	5	
1188	402	6	1	19	
1189	402	1	1	14	
